set Q := 
(0 , *) 1 , 9
(1 , *) 1 , 2
(2 , *) 1 , 4
(3 , *) 1 , 7
(4 , *) 2 , 8
(5 , *) 2 , 3
(6 , *) 2 , 6
(7 , *) 3 , 10
(8 , *) 3 , 5
(9 , *) 3 , 7
(10 , *) 4 , 10
(11 , *) 4 , 5
(12 , *) 4 , 6
(13 , *) 5 , 8
(14 , *) 5 , 9
(15 , *) 11 , 8
(16 , *) 11 , 9
(17 , *) 11 , 10
(18 , *) 11 , 6
(19 , *) 11 , 7
;
set V := 1,2,3,4,5,6,7,8,9,10,11;
set E := (1, 9),(1, 2),(1, 4),(1, 7),(2, 8),(2, 3),(2, 6),(3, 10),(3, 5),(3, 7),(4, 10),(4, 5),(4, 6),(5, 8),(5, 9),(6, 11),(7, 11),(8, 11),(9, 11),(10, 11);
set Idx := 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19;
set cnt := (1, 2),(12, 2),(3, 2),(13, 2),(8, 2),(15, 2),(18, 2),(9, 2),(11, 2),(16, 2),(17, 2),(19, 2),(6, 2),(2, 2),(4, 2),(14, 2),(5, 2),(0, 2),(7, 2),(10, 2);
