set Q := 
(0 , *) 1 , 2
(1 , *) 1 , 4
(2 , *) 1 , 7
(3 , *) 1 , 9
(4 , *) 1 , 13
(5 , *) 1 , 15
(6 , *) 1 , 18
(7 , *) 1 , 20
(8 , *) 2 , 3
(9 , *) 2 , 6
(10 , *) 2 , 8
(11 , *) 2 , 12
(12 , *) 2 , 14
(13 , *) 2 , 17
(14 , *) 2 , 19
(15 , *) 3 , 5
(16 , *) 3 , 7
(17 , *) 3 , 10
(18 , *) 3 , 13
(19 , *) 3 , 16
(20 , *) 3 , 18
(21 , *) 3 , 21
(22 , *) 4 , 5
(23 , *) 4 , 6
(24 , *) 4 , 10
(25 , *) 4 , 12
(26 , *) 4 , 16
(27 , *) 4 , 17
(28 , *) 4 , 21
(29 , *) 5 , 8
(30 , *) 5 , 9
(31 , *) 5 , 14
(32 , *) 5 , 15
(33 , *) 5 , 19
(34 , *) 5 , 20
(35 , *) 6 , 11
(36 , *) 6 , 13
(37 , *) 6 , 22
(38 , *) 6 , 15
(39 , *) 7 , 11
(40 , *) 7 , 12
(41 , *) 7 , 14
(42 , *) 7 , 22
(43 , *) 8 , 16
(44 , *) 8 , 11
(45 , *) 8 , 13
(46 , *) 8 , 22
(47 , *) 9 , 16
(48 , *) 9 , 11
(49 , *) 9 , 12
(50 , *) 9 , 22
(51 , *) 10 , 11
(52 , *) 10 , 15
(53 , *) 10 , 22
(54 , *) 10 , 14
(55 , *) 11 , 17
(56 , *) 11 , 18
(57 , *) 11 , 19
(58 , *) 11 , 20
(59 , *) 11 , 21
(60 , *) 23 , 12
(61 , *) 23 , 13
(62 , *) 23 , 14
(63 , *) 23 , 15
(64 , *) 23 , 16
(65 , *) 23 , 17
(66 , *) 23 , 18
(67 , *) 23 , 19
(68 , *) 23 , 20
(69 , *) 23 , 21
(70 , *) 23 , 22
;
set V := 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23;
set E := (1, 2),(1, 4),(1, 7),(1, 9),(1, 18),(1, 13),(1, 20),(1, 15),(2, 19),(2, 3),(2, 6),(2, 17),(2, 8),(2, 12),(2, 14),(3, 16),(3, 5),(3, 7),(3, 10),(3, 18),(3, 13),(3, 21),(4, 16),(4, 5),(4, 6),(4, 17),(4, 10),(4, 12),(4, 21),(5, 19),(5, 20),(5, 8),(5, 9),(5, 14),(5, 15),(6, 22),(6, 11),(6, 13),(6, 15),(7, 22),(7, 11),(7, 12),(7, 14),(8, 16),(8, 22),(8, 11),(8, 13),(9, 16),(9, 22),(9, 11),(9, 12),(10, 22),(10, 11),(10, 14),(10, 15),(11, 17),(11, 18),(11, 19),(11, 20),(11, 21),(12, 23),(13, 23),(14, 23),(15, 23),(16, 23),(17, 23),(18, 23),(19, 23),(20, 23),(21, 23),(22, 23);
set Idx := 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70;
set cnt := (67, 2),(47, 2),(41, 2),(52, 2),(11, 2),(62, 2),(21, 2),(16, 2),(26, 2),(6, 2),(63, 2),(57, 2),(68, 2),(27, 2),(37, 2),(32, 2),(7, 2),(42, 2),(1, 2),(12, 2),(22, 2),(43, 2),(53, 2),(48, 2),(23, 2),(58, 2),(17, 2),(28, 2),(38, 2),(2, 2),(59, 2),(69, 2),(64, 2),(39, 2),(33, 2),(44, 2),(3, 2),(54, 2),(13, 2),(8, 2),(18, 2),(55, 2),(49, 2),(60, 2),(19, 2),(70, 2),(29, 2),(24, 2),(34, 2),(4, 2),(14, 2),(65, 2),(35, 2),(45, 2),(40, 2),(15, 2),(50, 2),(9, 2),(20, 2),(30, 2),(51, 2),(61, 2),(56, 2),(31, 2),(66, 2),(25, 2),(36, 2),(46, 2),(5, 2),(0, 2),(10, 2);
